sentence,label
FHL1 is associated with AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS,0
POMC is associated with WAGR Syndrome,0
"PLCG1 is associated with CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 13",0
IL6 is associated with Lichenoid Eruptions,1
"MIR761 is associated with Ventricular Dysfunction, Left",1
CLPTM1L is associated with Macrostomia,0
"MSLN is associated with Cataract, Autosomal Dominant, Multiple Types 1",0
LTF is associated with Intrinsic Factor Deficiency,0
"AHDC1 is associated with Bartter syndrome, type 3",0
"CARD14 is associated with ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 6",0
CDH15 is associated with Distal Myopathies,0
"NFE2L2 is associated with Disease Models, Animal",1
"ADCY8 is associated with Aortic Stenosis, Supravalvular",0
P2RX7 is associated with Liver Cirrhosis,1
CSF1 is associated with Osteitis Deformans,1
CAT is associated with Necrosis,1
"ALX4 is associated with INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 45",0
INS is associated with Diabetic Cardiomyopathies,1
MMP2 is associated with Nephrosclerosis,0
ATXN8 is associated with Quadriplegia,0
ACKR3 is associated with Kidney Diseases,1
"CXCL1 is associated with Neuralgia, Postherpetic",0
"IGF2BP3 is associated with Liver Cirrhosis, Experimental",1
CTNNB1 is associated with Liver Cirrhosis,1
LMX1B is associated with Hematuria,1
FCRL3 is associated with Sunburn,0
"COLEC10 is associated with Diabetes Mellitus, Insulin-Dependent, 10",0
"AR is associated with SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE",0
ABCC6 is associated with Colorectal Neoplasms,1
IL17A is associated with Brain Ischemia,1
ACO2 is associated with Pyelonephritis,0
DRC1 is associated with Kartagener Syndrome,1
"HNF4A is associated with Maturity-Onset Diabetes of the Young, Type 1",1
PTGS2 is associated with Drug-Related Side Effects and Adverse Reactions,1
"JUN is associated with LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE",0
CAMK2A is associated with Hepatomegaly,1
APOE is associated with Splenomegaly,1
ETS2 is associated with Retinitis Pigmentosa 12,0
ILF2 is associated with Neurodevelopmental Disorders,1
"AQP4 is associated with T-cell immunodeficiency, congenital alopecia and nail dystrophy",0
CSF1R is associated with Neoplasms,1
"GSTT1 is associated with Carcinoma, Ovarian Epithelial",1
NFE2L2 is associated with Keratosis,1
BCL2 is associated with Autistic Disorder,1
PCCA is associated with Propionic Acidemia,1
"MUC1 is associated with Mesothelioma, Malignant",1
"FN1 is associated with Mammary Neoplasms, Experimental",1
"PLAU is associated with Bone Diseases, Metabolic",0
"NPPA is associated with Cardiomyopathy, Dilated",1
MAOA is associated with X-Linked Intellectual Disability,1
MIR212 is associated with Precancerous Conditions,1
LARP4B is associated with Bpes With Duane Retraction Syndrome,0
NONO is associated with Glucose Intolerance,1
"HLA-DRB1 is associated with Lymphoma, Non-Hodgkin",1
"KAT6B is associated with Ichthyosis, Leukocyte Vacuoles, Alopecia, And Sclerosing Cholangitis",0
"ACKR5 is associated with Carcinoma, Hepatocellular",1
"JAG1 is associated with Advanced Sleep-Phase Syndrome, Familial",0
"ACOX2 is associated with Liver Cirrhosis, Experimental",1
GALNT3 is associated with Rickettsia Infections,0
RD3 is associated with Leber Congenital Amaurosis 12,1
MYL2 is associated with Cardiovascular Diseases,0
APOB is associated with HIV Infections,0
"MAP2K1 is associated with FANCONI ANEMIA, COMPLEMENTATION GROUP E",0
PHKA1 is associated with Sleep Wake Disorders,0
AMACR is associated with Alpha-Methylacyl-CoA Racemase Deficiency,1
"KNG1 is associated with Angioedemas, Hereditary",1
PIM1 is associated with Precancerous Conditions,1
CSF3 is associated with Hypertrophy,1
"CAT is associated with Ischemic Attack, Transient",0
IRX5 is associated with Frontonasal dysplasia,1
"CYP4A10 is associated with Translocation, Genetic",0
MIR690 is associated with Adenoma,1
"PPARA is associated with Kidney Tubular Necrosis, Acute",1
FOXG1 is associated with Seizures,1
"PROC is associated with THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL RECESSIVE",1
PPARG is associated with Pancreatic Neoplasms,1
ORAI1 is associated with Immune dysfunction with T-cell inactivation due to calcium entry defect 1,1
GSN is associated with COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6,0
"CCKBR is associated with Deafness, Autosomal Recessive 53",0
IL1RN is associated with Bronchial Hyperreactivity,1
CNR1 is associated with Substance Withdrawal Syndrome,1
"ALAD is associated with Porphyrias, Hepatic",1
MSH3 is associated with Dysgnathia complex,0
KLF12 is associated with Substance-Related Disorders,1
FOXG1 is associated with Intellectual Disability,1
PARK7 is associated with Reticulocytosis,1
"FGF18 is associated with Mesothelioma, Malignant",1
IL7R is associated with Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,1
NRAS is associated with Aspartylglucosaminuria,0
ICAM1 is associated with Acute erythroleukemia,0
"IGSF1 is associated with Distal myopathy, Nonaka type",0
"PRL is associated with Mammary Neoplasms, Animal",1
GSTM6 is associated with Multiple Acyl Coenzyme A Dehydrogenase Deficiency,0
PRF1 is associated with Amelogenesis Imperfecta,0
NOS3 is associated with Retinitis Pigmentosa 26,0
"RTN2 is associated with Hand Deformities, Congenital",0
MTHFR is associated with Drug Eruptions,1
CPB2 is associated with Myositis,0
HELLS is associated with Coronary Thrombosis,0
FGFR3 is associated with DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 27,0
"MIR137 is associated with Muscular Dystrophy, Animal",0
GPNMB is associated with Hypoprothrombinemias,0
"ACAD9 is associated with Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of",1
C9 is associated with PSEUDO-TORCH SYNDROME 1,0
CYP2D4 is associated with Cognition Disorders,1
"MAPT is associated with Colorectal Cancer, Hereditary Nonpolyposis, Type 8",0
IGF2 is associated with Hypolipoproteinemias,0
"IFI44L is associated with Influenza, Human",1
"LGALS3 is associated with Liver Cirrhosis, Experimental",1
ALPL is associated with Arsenic Poisoning,0
AGXT is associated with Primary hyperoxaluria type 1,1
"CXADR is associated with Liver Cirrhosis, Experimental",1
CCL2 is associated with Aneuploidy,0
"FGF9 is associated with MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 6",0
"PIK3CA is associated with Leukemia, Lymphoid",0
"FEZ2 is associated with Jaundice, Neonatal",0
GPR150 is associated with Purine Nucleoside Phosphorylase Deficiency,0
NRAS is associated with Leukocytosis,1
MLLT10 is associated with Pancreatic Neoplasms,0
MIR17HG is associated with O'Donnell Pappas syndrome,0
"CD44 is associated with Deafness, Autosomal Recessive 3",0
PARP1 is associated with Breast Neoplasms,1
GRIK2 is associated with Breast Neoplasms,1
"PLAU is associated with SEIZURES, BENIGN FAMILIAL NEONATAL, 1",0
PARP1 is associated with HYPOGONADOTROPIC HYPOGONADISM 18 WITH OR WITHOUT ANOSMIA,0
NDRG1 is associated with Neoplasm Metastasis,1
ARG2 is associated with Nerve Degeneration,1
GAST is associated with NESTOR-GUILLERMO PROGERIA SYNDROME,0
"GNAI2 is associated with Mammary Neoplasms, Animal",1
AKR1D1 is associated with Intervertebral Disc Displacement,0
A2M is associated with Lung Neoplasms,1
IL1B is associated with Marshall-Smith syndrome,0
"FBLN5 is associated with Cutis Laxa, Autosomal Dominant",1
MIR341 is associated with Meretoja syndrome,0
ALAD is associated with Prostatic Neoplasms,1
PEX1 is associated with Zellweger Syndrome,1
"ABAT is associated with Chondrosarcoma, Extraskeletal Myxoid",0
MIR30A is associated with Pulmonary Fibrosis,1
MIR144 is associated with Absent corpus callosum cataract immunodeficiency,0
"PALB2 is associated with Fanconi Anemia, Complementation Group N",1
CIBAR1 is associated with Ciliopathies,1
MTHFR is associated with Gastrointestinal Diseases,1
IFIH1 is associated with Aicardi-Goutieres syndrome,1
ITPKC is associated with Mucocutaneous Lymph Node Syndrome,1
CYP2D22 is associated with Prostatic Neoplasms,1
PTGS1 is associated with Azotemia,0
ACAN is associated with BARDET-BIEDL SYNDROME 21,0
COL9A1 is associated with RETINITIS PIGMENTOSA 59,0
PELI1 is associated with Arsenic Poisoning,1
POT1 is associated with Melanoma,1
NOS2 is associated with Heart Failure,1
"LRPAP1 is associated with MYOPIA 23, AUTOSOMAL RECESSIVE",1
NEDD4L is associated with Hypertension,1
BCAT2 is associated with Maple Syrup Urine Disease,1
CCHCR1 is associated with Mucopolysaccharidosis II,0
MUC2 is associated with Fibrous Dysplasia of Bone,0
MTTP is associated with Fatty Liver,1
"IL6 is associated with Carcinoma, Squamous Cell",1
"KIF5A is associated with Congenital Disorder of Glycosylation, Type Io",0
DNMT3A is associated with Lung Neoplasms,1
"CYRIA is associated with Liver Cirrhosis, Experimental",1
ERCC1 is associated with Lung Neoplasms,1
FMO4 is associated with Hypercalciuria,0
ECEL1 is associated with Coronary Artery Disease,0
"GCLC is associated with MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 3",0
CTNNB1 is associated with Adrenal Gland Neoplasms,1
CCR6 is associated with NEMALINE MYOPATHY 10,0
"MIR190A is associated with Cell Transformation, Neoplastic",1
"ALG8 is associated with Charcot-Marie-Tooth Disease, Dominant Intermediate B",0
CHRNB2 is associated with Anxiety Disorders,1
FZD4 is associated with Protein Deficiency,0
CYP2D6 is associated with Hyperemia,0
"CPS1 is associated with PULMONARY HYPERTENSION, NEONATAL, SUSCEPTIBILITY TO",1
RPL24 is associated with Gastrointestinal Stromal Tumors,1
"MMP2 is associated with Hypercholesterolemia, Autosomal Dominant, 3",0
"LRP6 is associated with TOOTH AGENESIS, SELECTIVE, 7",1
JUN is associated with Hypochondroplasia,0
"MIR638 is associated with Cardiomyopathy, Dilated, 1V",0
RBM17 is associated with Spinocerebellar Ataxias,1
CSMD3 is associated with Neoplasm Seeding,0
"ITGB1BP1 is associated with Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi",0
DNMT1 is associated with Stomach Ulcer,0
ITGAL is associated with Inflammatory Bowel Diseases,1
"NOS2 is associated with Diabetes Mellitus, Experimental",1
GC is associated with Pheochromocytoma,0
MT1 is associated with Rubinstein-Taybi Syndrome,0
HDC is associated with Tourette Syndrome,1
MTHFR is associated with Acute Kidney Injury,1
"AOX1 is associated with Leigh syndrome , French Canadian type",0
BDNF is associated with Microcephaly,0
PRDM2 is associated with Amphetamine-Related Disorders,1
CSF3 is associated with Laurence-Moon Syndrome,0
IKZF3 is associated with Leber Congenital Amaurosis,0
NDUFV2 is associated with PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY,0
"ARG2 is associated with Charcot-Marie-Tooth disease, Type 2J",0
"PEX11A is associated with INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 47",0
"CEBPD is associated with Burns, Chemical",0
CCR5 is associated with Neoplasm Metastasis,1
CYP1B1 is associated with Blepharophimosis syndrome type 1,0
"CORO1A is associated with AMELOGENESIS IMPERFECTA, TYPE IG",0
"NCK2 is associated with ORNITHINE TRANSCARBAMYLASE DEFICIENCY, HYPERAMMONEMIA DUE TO",0
FBLN2 is associated with Colorectal Neoplasms,1
CARF is associated with Coronary Artery Disease,1
"NRAS is associated with Leukemia, Promyelocytic, Acute",1
PAK2 is associated with Proteinuria,1
"NEUROG3 is associated with Diarrhea 4, Malabsorptive, Congenital",1
CCK is associated with Hyperkinesis,1
"BAP1 is associated with NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY",0
LIPE is associated with Prostatitis,0
"NDUFS4 is associated with Brachydactyly, Type B1",0
PRDX2 is associated with Prostatic Neoplasms,1
"MIR485 is associated with Diabetes Mellitus, Type 2",1
"LDHB is associated with BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 2",0
CYBB is associated with MITOCHONDRIAL PYRUVATE CARRIER DEFICIENCY,0
"INS is associated with Diabetes Mellitus, Type 2",1
"LAPTM5 is associated with Liver Cirrhosis, Experimental",1
PLOD1 is associated with Nevo syndrome,1
"CCNF is associated with Carcinoma, Hepatocellular",1
DHRS2 is associated with NOONAN SYNDROME 7,0
"GCLC is associated with Diabetes Mellitus, Type 2",1
IL12B is associated with IMMUNODEFICIENCY 29,1
OPRM1 is associated with Epilepsy,1
"DHODH is associated with Leukemia, Erythroblastic, Acute",1
"DIPK2B is associated with MICROCEPHALY, SEIZURES, AND DEVELOPMENTAL DELAY",0
ADD1 is associated with Familial cylindromatosis,0
CD27 is associated with LYMPHOPROLIFERATIVE SYNDROME 2,0
"AHR is associated with Carcinoma, Renal Cell",0
"KRT8 is associated with Liver Failure, Acute",1
GNE is associated with Schizophrenia,0
"ND6 is associated with Optic Atrophies, Hereditary",1
KCNJ11 is associated with Keratosis palmoplantaris striata 3,0
"IL1RN is associated with CONGENITAL MYOPATHY 7A, MYOSIN STORAGE, AUTOSOMAL DOMINANT",0
NUCB1 is associated with Stevens-Johnson Syndrome,1
BBS10 is associated with Perry Syndrome,0
"MECOM is associated with Osteoarthritis, Knee",0
MEF2C is associated with Autism Spectrum Disorder,1
CHRNA7 is associated with Laryngeal Neoplasms,0
AFP is associated with Phagocyte Bactericidal Dysfunction,0
OPA3 is associated with Costeff optic atrophy syndrome,1
"BRAF is associated with Plagiocephaly, Nonsynostotic",0
"RPIA is associated with AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION",0
RPS21 is associated with Stomach Neoplasms,1
"RELA is associated with MACULAR DEGENERATION, AGE-RELATED, 14",0
KRT15 is associated with NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND GRAY SCLERAE,0
"MIR195 is associated with Diabetes Mellitus, Type 2",1
CACNA1C is associated with Brugada Syndrome 8,0
OVOL1 is associated with Pilomatrixoma,1
"PIR is associated with Hypertrophy, Right Ventricular",0
LEPR is associated with IMMUNODEFICIENCY 32A,0
GRIN2B is associated with DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 27,1
"H2AC8 is associated with Arthritis, Juvenile",1
ABO is associated with Critical Illness,1
PRKAR1A is associated with Hypokalemia,0
"ATP2A3 is associated with Lymphoma, AIDS-Related",0
LOXL4 is associated with Urinary Bladder Neoplasms,1
HOXA3 is associated with LYMPHOPROLIFERATIVE SYNDROME 2,0
HPD is associated with Chemical and Drug Induced Liver Injury,1
"NANOS1 is associated with Mesothelioma, Malignant",1
COG1 is associated with Enterovirus Infections,1
HIPK2 is associated with Nephrosclerosis,1
IFNGR1 is associated with Parkinsonian Disorders,0
"PTEN is associated with CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM",0
"FOXP1 is associated with INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 37",0
PDYN is associated with Myopathy with Abnormal Lipid Metabolism,0
"APON is associated with Liver Cirrhosis, Experimental",1
MMP9 is associated with Pulmonary Fibrosis,1
"CFTR is associated with Infertility, Male",1
CLTB is associated with LEPTIN DEFICIENCY OR DYSFUNCTION,0
AGK is associated with Pneumoconiosis,0
NDST1 is associated with Craniosynostosis radial aplasia syndrome,0
NOTCH2 is associated with Systemic Vasculitis,0
HGF is associated with Greig cephalopolysyndactyly syndrome,0
MIR344-1 is associated with Signs and Symptoms,0
NKX3-2 is associated with Spondylo-Megaepiphyseal-Metaphyseal Dysplasia,1
KRT5 is associated with Dowling-Degos Disease,1
"RAPGEF3 is associated with Mineralocorticoid Excess Syndrome, Apparent",0
"MAF is associated with Myopathy, Distal 3",0
AGT is associated with Acrodermatitis,0
ELANE is associated with Cyclic neutropenia,1
"PON1 is associated with Parkinson Disease, Secondary",1
"ABCB11 is associated with Cholestasis, progressive familial intrahepatic 3",1
ATP7B is associated with Apolipoprotein C-III Deficiency,0
PLAT is associated with Hypotrichosis simplex,0
"ALB is associated with Colitis, Ulcerative",1
EIF3D is associated with Pre-Eclampsia,1
FABP1 is associated with Nephritis,0
"CSGALNACT1 is associated with CANDIDIASIS, FAMILIAL, 9",0
"DPYD is associated with Mental Retardation, Autosomal Recessive 6",0
EYA1 is associated with Myotonic Dystrophy,0
"CAV3 is associated with Chromosome 3, monosomy 3p25",1
"AKR7A2 is associated with Epilepsy, Nocturnal Frontal Lobe, Type 1",0
"HEY1 is associated with Neuronopathy, Distal Hereditary Motor, Type IIB",0
RLN1 is associated with Hypertrophy,1
"FURIN is associated with Mammary Neoplasms, Experimental",1
PTGS2 is associated with Duodenal Ulcer,1
"PANX1 is associated with Liver Failure, Acute",1
"MIR34B is associated with Cell Transformation, Neoplastic",1
POLG is associated with PEROXISOME BIOGENESIS DISORDER 5B,0
ALDOB is associated with Hair Diseases,0
"PRDX5 is associated with Rhinitis, Allergic",0
COL2A1 is associated with SHORT STATURE AND ADVANCED BONE AGE WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS,0
KPNB1 is associated with Hereditary Motor And Sensory Neuropathy VI,0
"IDH2 is associated with Ectodermal Dysplasia 3, Anhidrotic",0
"KRT6B is associated with ANEMIA, X-LINKED, WITH OR WITHOUT NEUTROPENIA AND/OR PLATELET ABNORMALITIES",0
"MYH3 is associated with Anemia, Macrocytic",0
CTNNB1 is associated with COMPLEMENT FACTOR B DEFICIENCY,0
"PTGER1 is associated with Mammary Neoplasms, Experimental",1
"DRD4 is associated with Limb Deformities, Congenital",0
MIR149 is associated with Coxsackievirus Infections,0
APC is associated with Nail Diseases,0
FBN2 is associated with COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8,0
IL33 is associated with Kidney Diseases,1
"CFB is associated with Oto-palato-digital syndrome, type 2",0
MCM8 is associated with Multiple Sclerosis,0
"CDH15 is associated with Mental Retardation, Autosomal Dominant 3",1
"DUSP1 is associated with Jaundice, Obstructive",0
COL11A2 is associated with Megaepiphyseal dwarfism,1
PPP2R5A is associated with Emphysema,1
"BCL2 is associated with Craniometaphyseal Dysplasia, Autosomal Dominant",0
GSK3B is associated with Cardiomegaly,1
MMP3 is associated with Peripheral Nervous System Diseases,1
"CCL20 is associated with Liver Neoplasms, Experimental",1
GAL is associated with Hypertension,1
ADAM9 is associated with CONE-ROD DYSTROPHY 9,1
FUS is associated with Papilloma,0
MUG1 is associated with Obsessive-Compulsive Disorder,0
"MIR654 is associated with Thyroid Cancer, Papillary",1
ARHGEF5 is associated with Lung Neoplasms,1
RTL6 is associated with Substance-Related Disorders,1
APC is associated with MELAS Syndrome,0
"RYR2 is associated with Mesothelioma, Malignant",1
PDE6G is associated with RETINITIS PIGMENTOSA 57,1
HRAS is associated with Liver Neoplasms,1
ABCD2 is associated with Colorectal Neoplasms,1
PTGIS is associated with Polycythemia Vera,0
"FST is associated with Deafness, Sensorineural, Autosomal-Mitochondrial Type",0
HIF1A is associated with Carcinoma,1
"NPHP4 is associated with HYPERCHOLESTEROLEMIA, FAMILIAL, 1",0
"OCRL is associated with Lymphoma, T-Cell, Peripheral",0
RAPGEF3 is associated with Obesity,1
RNR1 is associated with Deafness,1
AGBL4 is associated with Harlequin type ichthyosis,0
FN1 is associated with Pulmonary Fibrosis,1
HSPE1 is associated with Cardiomyopathies,1
MTMR7 is associated with Uterine Cervical Dysplasia,0
GAS5 is associated with Myocardial Ischemia,1
MPL is associated with Medulloblastoma,1
HP is associated with Activated Protein C Resistance,0
GSTT2 is associated with Dehydration,0
P2RY12 is associated with Hemorrhage,1
COL3A1 is associated with C SYNDROME,0
BAP1 is associated with Thymoma,1
MIR130A is associated with Solitary Fibrous Tumors,0
IL18 is associated with Neoplasm Metastasis,1
HLCS is associated with Holocarboxylase Synthetase Deficiency,1
PGD is associated with NEPHRONOPHTHISIS 15,0
ITGA2 is associated with Giant Cell Tumor of Bone,0
"ISG15 is associated with Anemia, Hemolytic, Congenital",0
"JAK3 is associated with Lymphoma, B-Cell",1
PKP2 is associated with Glycogen Storage Disease Type VI,0
CSF3 is associated with Hepatic Veno-Occlusive Disease,1
CRH is associated with Cognition Disorders,1
NAMPT is associated with Wallerian Degeneration,0
"PEX14 is associated with LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE",0
"FABP1 is associated with Kidney Tubular Necrosis, Acute",1
KDR is associated with Emphysema,0
CXCL8 is associated with Down Syndrome,1
"CALCA is associated with Niemann-Pick Disease, Type C",0
"GLIPR1 is associated with Liver Cirrhosis, Experimental",1
LRAT is associated with Retinitis Pigmentosa,1
IL6 is associated with Hepatic Insufficiency,0
"NPY is associated with Aortic aneurysm, familial thoracic 4",0
"ESR2 is associated with Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis",0
"ALDH1B1 is associated with Liver Cirrhosis, Experimental",1
FEN1 is associated with Lung Neoplasms,1
CAPZB is associated with Carcinoma,1
NECTIN1 is associated with Adenomatous Polyposis Coli,0
NPY1R is associated with Neural Tube Defects,1
"F9 is associated with Mesothelioma, Malignant",1
FBLN5 is associated with Respiratory Insufficiency,1
AKT1 is associated with Marijuana Abuse,1
"CORO1C is associated with Glomerulonephritis, IGA",1
LDB3 is associated with Metaphyseal Dysplasia without Hypotrichosis,0
LTF is associated with Premature Birth,1
NCF4 is associated with RETINITIS PIGMENTOSA 75,0
"COL6A1 is associated with Macular Degeneration, Age-Related, 1",0
"IFNA2 is associated with Nephrosis, Lipoid",0
"GAGE1 is associated with Charcot-Marie-Tooth Disease, Dominant Intermediate A",0
NOS2 is associated with Manganese Poisoning,1
MRTFA is associated with Cranioectodermal Dysplasia,0
ACE is associated with Berylliosis,1
OPN1SW is associated with TRITANOPIA,1
"PSD2 is associated with Complement Component 3 Deficiency, Autosomal Recessive",0
FMO2 is associated with Endometriosis,1
MAP2 is associated with Peanut Hypersensitivity,0
KRT1 is associated with Neurofibromatosis 2,0
GJB3 is associated with Deafness,1
"CANX is associated with MACULAR DEGENERATION, EARLY-ONSET",0
RBP4 is associated with Stomach Neoplasms,1
RASSF1 is associated with Chromosome Deletion,0
BGN is associated with MEESTER-LOEYS SYNDROME,1
"MYH9 is associated with HYPERTRIGLYCERIDEMIA, TRANSIENT INFANTILE",0
NOS2 is associated with BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10,0
"IGFBP3 is associated with Abortion, Spontaneous",1
CLEC16A is associated with Microvascular Angina,0
GLI2 is associated with Holoprosencephaly,1
DDIT3 is associated with Ulcer,1
ACAD8 is associated with Sudden Infant Death,0
CYP27C1 is associated with Adenoma,0
GLA is associated with Massive Hepatic Necrosis,0
"RETN is associated with Polyposis Syndrome, Hereditary Mixed, 2",0
KIF18A is associated with Megalocornea,0
"NPPA is associated with Hernia, Diaphragmatic",1
NOTCH2 is associated with Malnutrition,0
IL6R is associated with Nephropathy with Pretibial Epidermolysis Bullosa and Deafness,0
IL1B is associated with dopamine beta hydroxylase deficiency,0
PLEK is associated with Parietal Foramina,0
"PROC is associated with Osteogenesis Imperfecta, Type IV",0
CAT is associated with Kidney Calculi,1
PTGS2 is associated with Hyperemia,1
IL4 is associated with Autistic Disorder,1
ITGB4 is associated with Epidermolysis Bullosa,1
CCL20 is associated with Fructosuria,0
"NAGK is associated with Liver Cirrhosis, Experimental",1
"MX1 is associated with Leukemia, Myeloid, Acute",1
"GBA1 is associated with Gaucher Disease, Perinatal Lethal",1
"CDKN1B is associated with Multiple Endocrine Neoplasia, Type IV",1
HDAC3 is associated with Disease Progression,1
"CALM2 is associated with Carcinoma, Basal Cell",0
HCN1 is associated with Seizures,1
CCL2 is associated with Coronavirus Infections,1
PEPD is associated with OROFACIODIGITAL SYNDROME XV,0
PEX13 is associated with PEROXISOME BIOGENESIS DISORDER 11B,1
"ACTG1 is associated with Ehlers-Danlos syndrome, cardiac valvular form",0
RAB31 is associated with Schnitzler Syndrome,0
ALOX5 is associated with Multiple Organ Failure,1
FBN1 is associated with Liver Cirrhosis,1
CP is associated with Retinal Degeneration,1
"ALDH1A3 is associated with Glaucoma 3, Primary Congenital, A",0
PPARA is associated with Hypoglycemia,1
"OGG1 is associated with Porphyrias, Hepatic",0
DHDH is associated with Prostatic Neoplasms,1
GATA3 is associated with Metaplasia,1
IL1RAPL1 is associated with COLE DISEASE,0
"PARP1 is associated with HYPEROXALURIA, PRIMARY, TYPE III",0
FCER1A is associated with Drug Hypersensitivity,1
LBP is associated with Lung Injury,0
PDP1 is associated with Prostatic Neoplasms,1
"MAOA is associated with Myopathy, Centronuclear, Autosomal Recessive",0
"DNMT3A is associated with Aortic Valve, Calcification of",0
GABRB1 is associated with Respiratory Distress Syndrome,1
"DEFA5 is associated with Colitis, Ulcerative",1
FGF15 is associated with Insulin Resistance,1
"CYP27A1 is associated with Xanthomatosis, Cerebrotendinous",1
"CTNS is associated with Night Blindness, Congenital Stationary, Autosomal Dominant 2",0
MRE11A is associated with Adenine phosphoribosyltransferase deficiency,0
MIR376C is associated with Xeroderma Pigmentosum,0
PTGS2 is associated with Pericardial Effusion,1
LEP is associated with Extravasation of Diagnostic and Therapeutic Materials,0
CTR1C is associated with Naegeli syndrome,0
"MERTK is associated with Glomerulonephritis, IGA",1
RPL27A is associated with Adenocarcinoma of Lung,1
"ADIPOQ is associated with Atypical Mycobacteriosis, Familial, X-Linked 2",0
HAMP is associated with Kidney Neoplasms,1
POT1 is associated with Chromosome Disorders,1
"DNAAF4 is associated with Ceroid lipofuscinosis, neuronal 8",0
OLR1 is associated with Respiration Disorders,0
"MIR10B is associated with Diabetes Mellitus, Type 2",1
"CCNA1 is associated with Spastic Paraplegia, Hereditary",0
"FASN is associated with Cardiomyopathy, Dilated",1
AICDA is associated with Hyper-IgM Immunodeficiency Syndrome,1
CCL7 is associated with Hyperparathyroidism 2,0
HLA-DRA is associated with Multiple Sclerosis,1
"APBB1IP is associated with ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS",0
MRO is associated with Chromosome Aberrations,0
PTH is associated with Hyperphosphatemia,1
MIR148A is associated with Liver Neoplasms,1
MIR761 is associated with Opsismodysplasia,0
PPM1E is associated with Colorectal Neoplasms,1
MIR30C-1 is associated with Liver Cirrhosis,1
EIF4E is associated with BRITTLE CORNEA SYNDROME 2,0
CD53 is associated with C1q DEFICIENCY 1,0
"NOTCH4 is associated with Heterotopia, Periventricular, Ehlers-Danlos Variant",0
GNB1 is associated with Anxiety Disorders,1
PTI is associated with Shock,1
MAPK1 is associated with MIRAGE SYNDROME,0
IL16 is associated with Prostatic Neoplasms,1
"EPDR1 is associated with Glaucoma, Angle-Closure",1
CALY is associated with Essential Hypertension,1
HLA-DRB1 is associated with Meningococcal Infections,0
RHAG is associated with Urinary Tract Infections,0
EBF1 is associated with FICOLIN 3 DEFICIENCY,0
POMC is associated with Kidney Calculi,1
GSTP1 is associated with Chromosome Aberrations,1
ITGB2 is associated with Embolism and Thrombosis,0
PLAT is associated with Bacteremia,1
HBA1 is associated with Urogenital Abnormalities,0
INPP5E is associated with Intellectual Disability,1
PRKAR1A is associated with CONGENITAL DISORDER OF DEGLYCOSYLATION 1,0
MMP13 is associated with Craniofacial Abnormalities,1
"IL17RA is associated with Microphthalmia, syndromic 1",0
MSMB is associated with Prostatic Neoplasms,1
PLAGL1 is associated with Stomach Neoplasms,1
APOE is associated with Celiac Disease,0
MMP9 is associated with Pulmonary Emphysema,1
"CYP1A1 is associated with Dermatitis, Allergic Contact",1
NOS2 is associated with Stroke,1
"NAGA is associated with Carcinoma, Non-Small-Cell Lung",0
"CHD2 is associated with Myoclonic Epilepsies, Progressive",1
"FDPS is associated with POROKERATOSIS 9, MULTIPLE TYPES",1
"ERBB2 is associated with Neoplasms, Experimental",1
NEDD9 is associated with Multiple Sclerosis,1
